,Name,Distance,Mass,Radius,,Name,Distance,Mass,Radius
37,2MASS J03510004-0052452,48,102,1.27,37,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
38,2MASS J03552337+1133437,29.8,20,1.32,38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
39,2MASS J04151954−0935066,18.6,30,0.95,39,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999
40,2MASS J04285096-2253227 [de],85,80,1.09,40,2MASS J04285096-2253227 [de],85,0.07636704,0.11201167000000001
41,2MASS J04351612-1606574,34,100,1.26,41,2MASS J04351612-1606574,34,0.0954588,0.12948137999999998
42,2MASS J04362788-4114465,142,39,1.97,42,2MASS J04362788-4114465,142,0.037228932,0.20244310999999998
43,2MASS J04390101-2353083 [de],29.5,48,0.97,43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999
44,2MASS J04433764+0002040,82,22,1.78,44,2MASS J04433764+0002040,82,0.021000936,0.18291813999999998
45,2MASS J04455387-3048204 [de],42,64,1.00,45,2MASS J04455387-3048204 [de],42,0.061093632,0.102763
46,2MASS J04510093-3402150 [de],69,1.04,72,46,2MASS J04510093-3402150 [de],69,0.00099277152,7.398935999999999
47,2MASS J05002100+0330501 [de],44,64,1.00,47,2MASS J05002100+0330501 [de],44,0.061093632,0.102763
48,2MASS J05012406-0010452 [de],64,21,1.38,48,2MASS J05012406-0010452 [de],64,0.020046348000000002,0.14181293999999997
49,2MASS J05160945-0445499 [de],73,47,0.97,49,2MASS J05160945-0445499 [de],73,0.044865636,0.09968010999999999
50,2MASS J0523−1403,40,68,1.01,50,2MASS J0523−1403,40,0.064911984,0.10379063
51,SDSS J053951.99-005902.0,41.62,61,1.01,51,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
52,LSR 0602+3910 [de],34.6,28,1.41,52,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998
53,2MASS J06085283-2753583,102,38,1.51,53,2MASS J06085283-2753583,102,0.036274344,0.15517213
54,2MASS J06244595-4521548 [de],39,56,0.99,54,2MASS J06244595-4521548 [de],39,0.053456928,0.10173536999999999
55,2MASS J06411840-4322329 [de],65,67,1.01,55,2MASS J06411840-4322329 [de],65,0.063957396,0.10379063
56,DENIS-P J0652197-253450 [de],51,75,1.05,56,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
57,2MASS J07075327-4900503,60,72,1.03,57,2MASS J07075327-4900503,60,0.068730336,0.10584589
58,UGPS J072227.51-054031.2,13.4,26,0.98,58,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
59,2MASSI J0727182+171001 [de],29.6,41,0.94,59,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998
60,2MASS J07290002-3954043 [de],25.8,37,0.94,60,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998
61,SDSS J074201.41+205520.5 [de],49,43,0.94,61,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
62,DENIS-P J0751164-253043 [de],55,71,1.03,62,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
63,2MASS J07522390+1612157,60,2.01,68,63,2MASS J07522390+1612157,60,0.00191872188,6.987883999999999
64,DENIS J081730.0-615520,16.1,44,0.94,64,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
65,2MASS J08251968+2115521 [de],35,52,0.98,65,2MASS J08251968+2115521 [de],35,0.049638576000000004,0.10070773999999999
66,SDSSp J083008.12+482847.4 [de],43,48,0.99,66,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173536999999999
67,LHS 2021,55,88,1.15,67,LHS 2021,55,0.084003744,0.11817744999999999
68,SDSS J083048.80+012831.1 [de],77,46,0.96,68,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865247999999999
69,2MASSI J0835425-081923 [de],23.53,62,1.00,69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
70,2MASSI J0847287-153237 [de],43,64,1.00,70,2MASSI J0847287-153237 [de],43,0.061093632,0.102763
71,2MASS J08533619-0329321,27.6,77,1.07,71,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
72,2MASSI J0859254-194926 [de],50,50,0.98,72,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
73,2MASSI J0937347+293142,20.0,42,0.94,73,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
74,2MASS 0939−2448,17.4,32,0.95,74,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
75,2MASS J09490860-1545485 [de],59,49,0.96,75,2MASS J09490860-1545485 [de],59,0.046774812,0.09865247999999999
76,2MASS J10073369-4555147,46,44,0.94,76,2MASS J10073369-4555147,46,0.042001872,0.09659721999999998
77,2MASSI J1010148-040649 [de],55,51,0.98,77,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
78,2MASS J10224821+5825453 [de],60,27,1.41,78,2MASS J10224821+5825453 [de],60,0.025773876,0.14489582999999998
79,2MASSW J1036530-344138 [de],53,49,0.97,79,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
80,2MASS J1047538+212423 [de],34.4,42,0.94,80,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
